channel,flutter_version,dart_sdk_version,release_date,flutter_release_commit_hash,engine_version_commit_hash,snapshot_hash
stable,3.38.8,3.10.7,2026-01-27T18:13:20.052071Z,bd7a4a6b5576630823ca344e3e684c53aa1a0f46,db373eb85a06eb3d706af362a45d42d0972f4b46,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
beta,3.41.0-0.1.pre,3.11.0 (build 3.11.0-296.4.beta),2026-01-26T21:38:00.448270Z,be9275b8229b50e19bff4694643c39bb71401010,d8756bc5ef1a76d727745d21fd1cf195340c1020,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
beta,3.41.0-0.0.pre,3.11.0 (build 3.11.0-296.3.beta),2026-01-14T19:46:49.086511Z,ee37b97405045145783cd6df94d0dedf10438554,b267090e310ab697b55c84373da954674f653b37,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
stable,3.38.7,3.10.7,2026-01-14T18:21:18.604918Z,3b62efc2a3da49882f43c372e0bc53daef7295a6,78fc3012e45889657f72359b005af7beac47ba3d,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
stable,3.38.6,3.10.7,2026-01-08T23:06:55.995045Z,8b872868494e429d94fa06dca855c306438b22c0,78fc3012e45889657f72359b005af7beac47ba3d,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
beta,3.40.0-0.2.pre,3.11.0 (build 3.11.0-200.1.beta),2025-12-18T21:56:25.089953Z,ebde138e3886dc1a68d4dfc4e84cc02d712eef69,9828a8bf3fe26ba43a8aecf7e8eb1033ac285808,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
stable,3.38.5,3.10.4,2025-12-12T16:44:16.735512Z,f6ff1529fd6d8af5f706051d9251ac9231c83407,1527ae0ec577a4ef50e65f6fefcfc1326707d9bf,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
beta,3.40.0-0.1.pre,3.11.0 (build 3.11.0-200.1.beta),2025-12-05T22:21:57.592558Z,d96afb5b4f5fd2b0989c236cb637c7b755668951,b5cdf57426107e7a8eebf469a017833e01389438,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
stable,3.38.4,3.10.3,2025-12-04T17:37:18.498992Z,66dd93f9a27ffe2a9bfc8297506ce066ff51265f,a5cb96369ef86c7e85abf5d662a1ca5d89775053,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
beta,3.39.0-0.2.pre,3.11.0 (build 3.11.0-93.2.beta),2025-12-01T19:58:19.602047Z,aec5680b7727eb4bcc675b3b7ee3d00be8474df0,67f6b4a7552bec81f12788cd02a6c986e64479af,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
stable,3.38.3,3.10.1,2025-11-21T16:23:59.542438Z,19074d12f7eaf6a8180cd4036a430c1d76de904e,13e658725ddaa270601426d1485636157e38c34c,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
stable,3.38.2,3.10.0,2025-11-18T22:26:54.763095Z,f5a8537f90d143abd5bb2f658fa69c388da9677b,b5990e5ccc5e325fd24f0746e7d6689bbebc7c65,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
stable,3.38.1,3.10.0,2025-11-13T18:06:22.416761Z,b45fa18946ecc2d9b4009952c636ba7e2ffbb787,b5990e5ccc5e325fd24f0746e7d6689bbebc7c65,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
beta,3.39.0-0.1.pre,3.11.0 (build 3.11.0-93.1.beta),2025-11-12T19:48:52.034030Z,cbb46938eea8d29b761fbfd14b4554f10c9fd825,b9afb03275c7cf04906cb5b94faa60005561fc83,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
stable,3.38.0,3.10.0 (build 3.10.0-290.4.beta),2025-11-12T19:05:03.744383Z,a0e9b9dbf78c8a5ef39b45a7efd40ed2de19c1a7,cb467e31a54207dc987aca5bb0941c4d2e3fd9ed,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
beta,3.38.0-0.2.pre,3.10.0 (build 3.10.0-290.1.beta),2025-10-29T16:09:32.123077Z,f16b4ff8921f452da733f17b243f627d08f1e378,d7ec7e8064d93a8d8bdd418103ec48cfafbc4841,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
stable,3.35.7,3.9.2,2025-10-23T16:06:13.644749Z,adc901062556672b4138e18a4dc62a4be8f4b3c2,035316565ad77281a75305515e4682e6c4c6f7ca,97ff04a728735e6b6b098bdf983faaba
beta,3.38.0-0.1.pre,3.10.0 (build 3.10.0-290.1.beta),2025-10-20T18:50:38.270530Z,7e592fef326466f8faafa664eac2912bb0b91fd5,060c2cc550a0b0d37aa48d40b5f1bb8984b7439a,aaaaaaaaaaaaaaaaEEEEEEEEEEEEEEEE
stable,3.35.6,3.9.2,2025-10-09T17:29:01.107513Z,9f455d2486bcb28cad87b062475f42edc959f636,d2913632a4578ee4d0b8b1c4a69888c8a0672c4b,97ff04a728735e6b6b098bdf983faaba
stable,3.35.5,3.9.2,2025-09-29T17:07:18.478891Z,ac4e799d237041cf905519190471f657b657155a,d3d45dcf251823c1769909cd43698d126db38deb,97ff04a728735e6b6b098bdf983faaba
beta,3.37.0-0.1.pre,3.10.0 (build 3.10.0-162.1.beta),2025-09-17T18:20:58.226006Z,465e421f53c05f8f33f83a243c10c55f9f6efbc2,286e592194da983137fc023d4bfafae3839b2bc2,c028881d8dd895fcffd491d564385ec3
stable,3.35.4,3.9.2,2025-09-16T20:09:41.727296Z,d693b4b9dbac2acd4477aea4555ca6dcbea44ba2,c29809135135e262a912cf583b2c90deb9ded610,97ff04a728735e6b6b098bdf983faaba
beta,3.37.0-0.0.pre,3.10.0 (build 3.10.0-162.1.beta),2025-09-08T21:35:17.019260Z,155e144f0f54573f29715e60f319b11c637787cf,091c3b3c7b388944417b41b6d6852677c57d1387,c028881d8dd895fcffd491d564385ec3
stable,3.35.3,3.9.2,2025-09-04T17:23:42.405555Z,a402d9a4376add5bc2d6b1e33e53edaae58c07f8,ddf47dd3ff96dbde6d9c614db0d7f019d7c7a2b7,97ff04a728735e6b6b098bdf983faaba
beta,3.36.0-0.4.pre,3.10.0 (build 3.10.0-75.1.beta),2025-08-28T20:48:35.939210Z,27795a80021ef03a959cf7228e77da5fc50cf63c,56f64c26474b70c7bc4d4c8785097499775d59e0,9aae8d42a3210e23500dab9059c4c7d3
beta,3.36.0-0.3.pre,3.10.0 (build 3.10.0-75.1.beta),2025-08-28T18:22:46.466324Z,6c794842101b5805e74774cce9f1fdb49cbcd13c,56f64c26474b70c7bc4d4c8785097499775d59e0,9aae8d42a3210e23500dab9059c4c7d3
beta,3.36.0-0.2.pre,3.10.0 (build 3.10.0-75.1.beta),2025-08-26T17:44:29.784371Z,452c427043305a0d0df5139c05287a593228fef3,56f64c26474b70c7bc4d4c8785097499775d59e0,9aae8d42a3210e23500dab9059c4c7d3
stable,3.35.2,3.9.0,2025-08-25T20:35:44.483061Z,05db9689081f091050f01aed79f04dce0c750154,a8bfdfc394deaed5c57bd45a64ac4294dc976a72,97ff04a728735e6b6b098bdf983faaba
stable,3.35.1,3.9.0,2025-08-14T21:48:29.032505Z,20f82749394e68bcfbbeee96bad384abaae09c13,1e9a811bf8e70466596bcf0ea3a8b5adb5f17f7f,97ff04a728735e6b6b098bdf983faaba
beta,3.36.0-0.1.pre,3.10.0 (build 3.10.0-75.1.beta),2025-08-14T19:20:33.445718Z,c84cdd0d0b582d1b65028a05bb39ba5f0a1599c2,877970cbc98718dbee8f0a34374fa2b1a1db2248,9aae8d42a3210e23500dab9059c4c7d3
stable,3.35.0,3.9.0,2025-08-14T17:11:52.992216Z,b8962555571d8c170cff8e76023ea7bf60e5ec4b,1e9a811bf8e70466596bcf0ea3a8b5adb5f17f7f,97ff04a728735e6b6b098bdf983faaba
